tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0167600	tvSeries	Les Globe-trotters	Les Globe-trotters	0	1966	1969	30	Adventure,Comedy
tt0114897	movie	Watch the K Foundation Burn a Million Quid	Watch the K Foundation Burn a Million Quid	0	1995	\N	63	Documentary
tt0247196	movie	Before Night Falls	Before Night Falls	0	2000	\N	133	Biography,Drama,Romance
tt0040260	short	Daddy Duck	Daddy Duck	0	1948	\N	7	Animation,Comedy,Family
tt0077303	movie	Casey's Shadow	Casey's Shadow	0	1978	\N	117	Drama,Family,Sport
tt0148021	tvMovie	Crash Theo	Crash Theo	0	1968	\N	\N	\N
tt0202736	tvSeries	Going for a Song	Going for a Song	0	1995	2002	\N	Documentary
tt0115346	tvSeries	Savannah	Savannah	0	1996	1997	60	Drama
tt0253450	video	Party in the Park 1999	Party in the Park 1999	0	2002	\N	\N	Documentary,Music
tt0252035	movie	Takaku kankei	Takaku kankei	0	1968	\N	69	\N
tt0189450	movie	Crazy - Um Dia Muito Louco	Crazy - Um Dia Muito Louco	0	1981	\N	82	Comedy
tt0046093	short	Mood Contrasts	Mood Contrasts	0	1953	\N	7	Short
tt0019616	short	Überfall	Polizeibericht Überfall	0	1928	\N	21	Crime,Drama,Short
tt0137100	movie	Maya	Maya Memsaab	0	1993	\N	130	Drama,Mystery,Romance
tt0075709	movie	L'avvocato della mala	L'avvocato della mala	0	1977	\N	95	Crime,Drama
tt0057024	movie	Ek Dil Sau Afsane	Ek Dil Sau Afsane	0	1963	\N	146	Comedy,Drama,Romance
tt0045187	movie	Stars and Stripes Forever	Stars and Stripes Forever	0	1952	\N	90	Biography,Comedy,Music
tt0061429	movie	A Bullet for the General	Quién sabe?	0	1967	\N	115	Action,Adventure,Drama
tt0030583	movie	The Little Adventurers	Piccoli naufraghi	0	1939	\N	80	Adventure
tt0115397	tvSeries	Traders	Traders	0	1996	2000	60	Drama
tt0086350	tvMovie	Special Bulletin	Special Bulletin	0	1983	\N	103	Drama
tt0092065	movie	Teaterterroristerna	Teaterterroristerna	0	1986	\N	86	\N
tt0253317	short	The Night Before the Morning After	The Night Before the Morning After	0	1980	\N	14	Short
tt0257672	short	Fiesta de San Jorge en Barcelona	Fiesta de San Jorge en Barcelona	0	1976	\N	9	Documentary,Short
tt0037224	movie	Riders of the Deadline	Riders of the Deadline	0	1943	\N	70	Drama,Western
tt0031323	movie	Flying Fifty-Five	Flying Fifty-Five	0	1939	\N	72	Drama
tt0022262	movie	Personal Maid	Personal Maid	0	1931	\N	74	Drama,Romance
tt0069622	tvSeries	Roll Out	Roll Out!	0	1973	1974	30	Comedy,War
tt0114004	tvMovie	Not of This Earth	Not of This Earth	0	1995	\N	91	Horror,Sci-Fi
tt0117411	video	The Pyramid 1	Private Gold 11: Pyramid 1	1	1996	\N	116	Adult,Adventure,Fantasy
tt0137868	movie	Kamyshovyy ray	Kamyshovyy ray	0	1989	\N	93	Drama
tt0105084	tvSeries	OZ	Ozzu	0	1992	\N	70	Animation,Sci-Fi
tt0099471	movie	King of Gambler	Do wong	0	1990	\N	91	Action,Drama
tt0178673	video	Killer Looks	Killer Looks	1	1991	\N	\N	Adult
tt0150344	short	Dizzy Ducks	Dizzy Ducks	0	1936	\N	6	Animation,Comedy,Short
tt0052898	movie	El hombre de la isla	El hombre de la isla	0	1960	\N	103	Drama
tt0089854	movie	Pursuit of a Killer	Kong woo liu duen	0	1985	\N	89	Action,Crime,Mystery
tt0169798	movie	Un dramma a 16 anni	Un dramma a 16 anni	0	1929	\N	\N	\N
tt0037899	movie	Marie-Louise	Marie-Louise	0	1944	\N	93	Drama
tt0060704	movie	Special Mission Lady Chaplin	Missione speciale Lady Chaplin	0	1966	\N	99	Action,Adventure,Crime
tt0091361	tvMovie	Kung Fu: The Movie	Kung Fu: The Movie	0	1986	\N	89	Adventure,Drama,Western
